name,category,lat,lng,distance,house_id
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,1151,0
롯데슈퍼프레시 군산소룡점,마트,35.9806640679822,126.678339751528,1797,0
탑마트,마트,35.97071062931972,126.69481740724035,1835,0
다온마트,마트,35.989066560214134,126.69751463164782,224,0
코렉스마트물류센터,마트,35.9854971555393,126.692345322745,425,0
일등마트,마트,35.984902630839116,126.70722766282124,992,0
한솔마트,마트,35.9794507636855,126.704893814138,1139,0
코사마트 월명점,마트,35.9847190190735,126.70695666661037,975,0
금강 정육마트,마트,35.9797753464322,126.704950263669,1116,0
동신마트,마트,35.9872241781825,126.706847601044,925,0
축복마트,마트,35.9798515745783,126.69935272079,851,0
코렉스마트주차장,마트,35.9911257686757,126.70876276595,1181,0
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,1349,0
컴퓨터할인마트,마트,35.9773755424716,126.703925819579,1274,0
군산D.C마트,마트,35.9843296750522,126.709918789459,1243,0
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,1554,0
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,1423,0
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,1390,0
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,1491,0
해망굴,가볼만한곳,35.9913180812321,126.704849620425,874,0
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,1599,0
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,677,0
월명호수,가볼만한곳,35.97663913860391,126.69136962041439,1261,0
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,748,0
군산 월명공원 무장애나눔길,가볼만한곳,35.9786015077064,126.688727496709,1187,0
월명산,가볼만한곳,35.98252204742429,126.70265581907687,753,0
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,1324,0
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,1573,0
조선은행,가볼만한곳,35.9892535183954,126.714221192099,1606,0
수시탑,가볼만한곳,35.989782775471,126.703546782706,690,0
해신동11 주차장,주차장,35.9868197983076,126.69644757035,43,0
희망루아파트 지상주차장,주차장,35.9877758203427,126.697802332772,127,0
희망루아파트 지하주차장,주차장,35.9887974727952,126.698023549836,220,0
해신동8 주차장,주차장,35.9854113610547,126.695454968783,222,0
해신동4 주차장,주차장,35.9864298560572,126.704872262841,752,0
월명공원주차장,주차장,35.97999899103254,126.69564607324003,802,0
해신동3 주차장,주차장,35.987587681738,126.705134090579,772,0
금동공영주차장,주차장,35.9896810778442,126.706168708926,907,0
월명동3 주차장,주차장,35.9803768442022,126.69893381423,785,0
해신동7 주차장,주차장,35.9925200277,126.703997878698,892,0
월명동2 주차장,주차장,35.9794057409206,126.696954966572,864,0
시청광장 주차장,주차장,35.98776220923,126.711680493942,1362,0
군산근대역사박물관 주차장,주차장,35.9904119240016,126.713223390125,1542,0
해신동주민센터 주차장,주차장,35.989526122396,126.707667465244,1032,0
월명동 17-22 주차장,주차장,35.9844877681132,126.708216091747,1090,0
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,532,1
더탑마트,마트,35.9774854873357,126.715851386631,1408,1
일등마트,마트,35.984902630839116,126.70722766282124,277,1
다온마트,마트,35.989066560214134,126.69751463164782,748,1
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,660,1
코사마트 월명점,마트,35.9847190190735,126.70695666661037,281,1
코렉스마트주차장,마트,35.9911257686757,126.70876276595,558,1
한솔마트,마트,35.9794507636855,126.704893814138,828,1
군산D.C마트,마트,35.9843296750522,126.709918789459,499,1
동신마트,마트,35.9872241781825,126.706847601044,136,1
하늘마트,마트,35.9835254835231,126.711292282515,651,1
금강 정육마트,마트,35.9797753464322,126.704950263669,792,1
앨트종합마트,마트,35.9834183216938,126.71020599258,582,1
종합가구할인마트,마트,35.9864175137364,126.71581160134,941,1
완도수산활어마트,마트,35.992423431840386,126.70723647082893,634,1
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,762,1
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,692,1
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,701,1
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,746,1
해망굴,가볼만한곳,35.9913180812321,126.704849620425,491,1
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,832,1
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,119,1
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,71,1
월명호수,가볼만한곳,35.97663913860391,126.69136962041439,1701,1
군산 월명공원 무장애나눔길,가볼만한곳,35.9786015077064,126.688727496709,1762,1
월명산,가볼만한곳,35.98252204742429,126.70265581907687,545,1
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,535,1
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,825,1
조선은행,가볼만한곳,35.9892535183954,126.714221192099,838,1
수시탑,가볼만한곳,35.989782775471,126.703546782706,359,1
해신동4 주차장,주차장,35.9864298560572,126.704872262841,70,1
해신동3 주차장,주차장,35.987587681738,126.705134090579,78,1
금동공영주차장,주차장,35.9896810778442,126.706168708926,315,1
월명동 17-22 주차장,주차장,35.9844877681132,126.708216091747,370,1
테디베어뮤지엄 군산점 주차장,주차장,35.9855026905027,126.709385557018,393,1
해신동주민센터 주차장,주차장,35.989526122396,126.707667465244,355,1
영화주차장,주차장,35.989154429627,126.708991799105,409,1
시청광장 주차장,주차장,35.98776220923,126.711680493942,575,1
금강주차장,주차장,35.983219455883,126.70847247109,495,1
