순번,도로명주소,농촌도시구분,층수,연면적(제곱미터),전체주소,위도,경도
1,전라북도 군산시 장계1길 9-8 (해망동),도시,1,57.2,전라북도 군산시 장계1길 9-8 (해망동),35.9871901018095,126.696585098291
2,전라북도 군산시 절골3길 13-8 (신흥동),도시,1,60.9,전라북도 군산시 절골3길 13-8 (신흥동),35.9869100284877,126.705384009028
3,전라북도 군산시 군산창1길 20-14 (금동),도시,1,70.0,전라북도 군산시 군산창1길 20-14 (금동),35.9912848075291,126.706237506134
4,전라북도 군산시 구영6길 54-8 (월명동),도시,1,20.0,전라북도 군산시 구영6길 54-8 (월명동),35.9861953877189,126.709762037569
5,전라북도 군산시 구영3길 31-3 (월명동),도시,1,49.5,전라북도 군산시 구영3길 31-3 (월명동),35.986278179465,126.707300647484
6,전라북도 군산시 월명안길 8-9 (월명동),도시,1,47.9,전라북도 군산시 월명안길 8-9 (월명동),35.9840821572608,126.70708343626
7,전라북도 군산시 월명2길 21-1 (월명동),도시,1,40.9,전라북도 군산시 월명2길 21-1 (월명동),35.984466846839,126.705885541604
8,전라북도 군산시 신풍길 34-37 (신풍동),도시,1,45.6,전라북도 군산시 신풍길 34-37 (신풍동),35.9804182377969,126.702267420659
9,전라북도 군산시 신풍길 41-3 (신풍동),도시,1,69.08,전라북도 군산시 신풍길 41-3 (신풍동),35.9800024239963,126.701874246365
10,전라북도 군산시 신풍3길 14-6 (신풍동),도시,1,100.0,전라북도 군산시 신풍3길 14-6 (신풍동),35.9792491184816,126.702723869227
11,전라북도 군산시 신풍안2길 20-1 (신풍동),도시,1,50.0,전라북도 군산시 신풍안2길 20-1 (신풍동),35.980812795867,126.70136014298
12,전라북도 군산시 신풍안1길 5-29 (신풍동),도시,1,60.0,전라북도 군산시 신풍안1길 5-29 (신풍동),35.9811583847312,126.701527604153
13,전라북도 군산시 송산1길 25-19 (송풍동),도시,1,45.0,전라북도 군산시 송산1길 25-19 (송풍동),35.9815841293602,126.699650523412
14,전라북도 군산시 삼화1길 24-1 (문화동),도시,1,50.0,전라북도 군산시 삼화1길 24-1 (문화동),35.975743945923,126.706750355359
15,전라북도 군산시 백토로 21 (문화동),도시,1,80.0,전라북도 군산시 백토로 21 (문화동),35.9773208416501,126.706016724299
16,전라북도 군산시 삼학4길 43-5 (삼학동),도시,1,33.0,전라북도 군산시 삼학4길 43-5 (삼학동),35.9771750336832,126.713284144071
17,전라북도 군산시 삼학5길 20-5 (삼학동),도시,1,22.0,전라북도 군산시 삼학5길 20-5 (삼학동),35.9771014211159,126.713706962235
18,전라북도 군산시 삼학9길 15-8 (삼학동),도시,1,41.0,전라북도 군산시 삼학9길 15-8 (삼학동),35.9754173448559,126.714602036092
19,전라북도 군산시 동리2길 35-8 (삼학동),도시,1,36.0,전라북도 군산시 동리2길 35-8 (삼학동),35.975264300914,126.714520207389
20,전라북도 군산시 미원로 48-4 (삼학동),도시,1,36.0,전라북도 군산시 미원로 48-4 (삼학동),35.9771099928596,126.710742525835
21,전라북도 군산시 삼학안2길 22 (삼학동),도시,1,66.0,전라북도 군산시 삼학안2길 22 (삼학동),35.9763738771691,126.711946330257
22,전라북도 군산시 아리랑로 42-4 (선양동),도시,1,100.0,전라북도 군산시 아리랑로 42-4 (선양동),35.9822756703231,126.712914191303
23,전라북도 군산시 월명로 421-3 (선양동),도시,1,70.0,전라북도 군산시 월명로 421-3 (선양동),35.9809234817178,126.713639712703
