순번,도로명주소,농촌도시구분,층수,연면적(제곱미터)
1,전북특별자치도 군산시 장계1길 9-8 (해망동),도시,1,57.2
2,전북특별자치도 군산시 절골3길 13-8 (신흥동),도시,1,60.9
3,전북특별자치도 군산시 군산창1길 20-14 (금동),도시,1,70
4,전북특별자치도 군산시 구영6길 54-8 (월명동),도시,1,20
5,전북특별자치도 군산시 구영3길 31-3 (월명동),도시,1,49.5
6,전북특별자치도 군산시 월명안길 8-9 (월명동),도시,1,47.9
7,전북특별자치도 군산시 월명2길 21-1 (월명동),도시,1,40.9
8,전북특별자치도 군산시 신풍길 34-37 (신풍동),도시,1,45.6
9,전북특별자치도 군산시 신풍길 41-3 (신풍동),도시,1,69.08
10,전북특별자치도 군산시 신풍3길 14-6 (신풍동),도시,1,100
11,전북특별자치도 군산시 신풍안2길 20-1 (신풍동),도시,1,50
12,전북특별자치도 군산시 신풍안1길 5-29 (신풍동),도시,1,60
13,전북특별자치도 군산시 송산1길 25-19 (송풍동),도시,1,45
14,전북특별자치도 군산시 삼화1길 24-1 (문화동),도시,1,50
15,전북특별자치도 군산시 백토로 21 (문화동),도시,1,80
16,전북특별자치도 군산시 삼학4길 43-5 (삼학동),도시,1,33
17,전북특별자치도 군산시 삼학5길 20-5 (삼학동),도시,1,22
18,전북특별자치도 군산시 삼학9길 15-8 (삼학동),도시,1,41
19,전북특별자치도 군산시 동리2길 35-8 (삼학동),도시,1,36
20,전북특별자치도 군산시 미원로 48-4 (삼학동),도시,1,36
21,전북특별자치도 군산시 삼학안2길 22 (삼학동),도시,1,66
22,전북특별자치도 군산시 아리랑로 42-4 (선양동),도시,1,100
23,전북특별자치도 군산시 월명로 421-3 (선양동),도시,1,70
24,전북특별자치도 군산시 미원3길 42-22 (둔율동),도시,1,60
25,전북특별자치도 군산시 둔배미길 3-10 (둔율동),도시,1,150
26,전북특별자치도 군산시 둔율1길 10-17 (둔율동),도시,1,150
27,전북특별자치도 군산시 거석길 5-9 (명산동),도시,1,100
28,전북특별자치도 군산시 명산길 2-4 (명산동),도시,1,100
29,전북특별자치도 군산시 창성1길 17-6 (송창동),도시,1,150
30,전북특별자치도 군산시 오룡로 49-9 (송창동),도시,1,70
31,전북특별자치도 군산시 창성3길 8-2 (개복동),도시,1,60
32,전북특별자치도 군산시 중앙로1가 3-14,도시,1,50
33,전북특별자치도 군산시 중앙로1가 4-4,도시,1,120
34,전북특별자치도 군산시 구영2길 34-2 (영화동),도시,1,60
35,전북특별자치도 군산시 구영6길 118-6 (영화동),도시,1,100
36,전북특별자치도 군산시 신영2길 5-6 (신영동),도시,1,100
37,전북특별자치도 군산시 신영3길 17 (죽성동),도시,1,90
38,전북특별자치도 군산시 중앙로 80-6 (중앙로3가),도시,1,60
39,전북특별자치도 군산시 중앙로 22-2 (대명동),도시,1,70
40,전북특별자치도 군산시 둔배미길 6-7 (미원동),도시,1,80
41,전북특별자치도 군산시 풍문3길 9-1 (미원동),도시,1,80
42,전북특별자치도 군산시 삼학6길 20 (미원동),도시,1,66
43,전북특별자치도 군산시 해망로 85-2 (중동),도시,1,59
44,전북특별자치도 군산시 서래1길 5-6 (중동),도시,1,60
45,전북특별자치도 군산시 해망로 75-16 (중동),도시,1,69
46,전북특별자치도 군산시 서래3길 11 (중동),도시,1,35
47,전북특별자치도 군산시 서래5길 16-14 (중동),도시,1,35
48,전북특별자치도 군산시 해망로 110-7 (중동),도시,1,69
49,전북특별자치도 군산시 서팔마길 27 (동흥남동),도시,1,35
50,전북특별자치도 군산시 서흥길 77-2 (서흥남동),도시,1,69
51,전북특별자치도 군산시 법원로 55-4 (조촌동),도시,1,35
52,전북특별자치도 군산시 번영로 115-8 (경장동),도시,1,1812
53,전북특별자치도 군산시 경암동 572-110,도시,1,259
54,전북특별자치도 군산시 천변길 9-13 (경암동),도시,1,1
55,전북특별자치도 군산시 서래안2길 3-10 (경암동),도시,1,174
56,전북특별자치도 군산시 서래안1길 12-3 (경암동),도시,1,59
57,전북특별자치도 군산시 경포천동길 66-1 (경암동),도시,1,69
58,전북특별자치도 군산시 경포천동길 66-3 (경암동),도시,1,34.7
59,전북특별자치도 군산시 경암2길 58-16 (경암동),도시,1,51
60,전북특별자치도 군산시 경포천동길 32-2 (경암동),도시,1,59
61,전북특별자치도 군산시 외산3길 21 (구암동),도시,1,16
62,전북특별자치도 군산시 야촌길 20-4 (내흥동),도시,1,17
63,전북특별자치도 군산시 쌍천로 9 (개정동),도시,1,15
64,전북특별자치도 군산시 진포안1길 15-3 (수송동),도시,1,64
65,전북특별자치도 군산시 진포안1길 28-16 (수송동),도시,1,75
66,전북특별자치도 군산시 진포안1길 26-7 (수송동),도시,1,37
67,전북특별자치도 군산시 축동안2길 7-8 (수송동),도시,1,50
68,전북특별자치도 군산시 축동안2길 2-1 (수송동),도시,1,32
69,전북특별자치도 군산시 미장서로 148-9 (미장동),도시,1,8.02
70,전북특별자치도 군산시 설림안1길 43 (소룡동),도시,1,30.08
71,전북특별자치도 군산시 요죽안1길 37-28 (오식도동),도시,1,140.03
72,전북특별자치도 군산시 요죽길 12 (오식도동),도시,1,37.02
73,전북특별자치도 군산시 개사길 252-3 (신관동),도시,1,106.2
74,전북특별자치도 군산시 신관북길 23-4 (신관동),도시,1,50
75,전북특별자치도 군산시 화흥길 13-2 (산북동),도시,1,50
76,전북특별자치도 군산시 장전안길 7-1 (산북동),도시,1,51.1
77,전북특별자치도 군산시 장전길 20 (산북동),도시,1,50.24
